Academic Year,Scholarship Name,Sector Type,TAP Sector Group,TAP College Code,Federal School Code,TAP College Name,Scholarship Headcount,Scholarship Dollars
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,900,2841,SUC BROCKPORT (UNDERGRAD),958,4056073.21
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,905,2842,SUC BUFFALO,689,2656235.21
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,910,2843,SUC CORTLAND (UNDERGRAD),826,3414934.1
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,913,10286,SUC EMPIRE STATE COLLEGE,43,142770.08
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,916,10286,SUC EMPIRE STATE COLLEGE,10,27464.98
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,950,2851,SUC ENV SCI&FORESTRY,131,457938.25
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,915,2844,SUC FREDONIA,739,3192092.07
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,920,2845,SUC GENESEO,862,3971026.89
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,925,2846,SUC NEW PALTZ,754,3382335.56
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,930,2847,SUC ONEONTA,814,3490411.58
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,935,2848,SUC OSWEGO (UNDERGRAD),961,4161510.84
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,945,2850,SUC POTSDAM,371,1418855.94
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,970,6791,SUC PURCHASE,468,1998289.69
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,895,2835,SUNY ALBANY (UNDERGRAD),1529,6041713.98
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,880,2836,SUNY BINGHAMTON,1499,6357211.78
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,1010,2837,SUNY BUFFALO,1843,7315610.39
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,3015,2856,SUNY COBLESKILL,114,371714.9
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,6015,2856,SUNY COBLESKILL,198,730628.19
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,965,7109,SUNY COLLEGE AT OLD WESTBURY (UG),313,1185677.77
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,3005,2854,SUNY COLLEGE OF TECH AT ALFRED,267,1134400.52
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,6005,2854,SUNY COLLEGE OF TECH AT ALFRED,196,829498.17
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,3010,2855,SUNY COLLEGE OF TECH AT CANTON,82,287140.33
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,6010,2855,SUNY COLLEGE OF TECH AT CANTON,170,719653.62
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,3020,2857,SUNY COLLEGE OF TECH AT DELHI,202,772607.56
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,6020,2857,SUNY COLLEGE OF TECH AT DELHI,98,387420.65
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,3025,2858,SUNY COLLEGE OF TECH FARMINGDALE,133,512362.11
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,6025,2858,SUNY COLLEGE OF TECH FARMINGDALE,411,1824946.64
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,955,2853,SUNY MARITIME COLLEGE,74,269705.03
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,940,2849,SUNY PLATTSBURGH,586,2528599.2
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,4975,11678,SUNY POLYTECHNIC INSTITUTE,178,634057.02
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,875,2838,SUNY STONY BROOK,1096,4031775.24
2018,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,890,2840,SUNY UPSTATE MEDICAL UNIV,15,64748.09
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2000,2860,ADIRONDACK COMMUNITY COLLEGE,149,375566.45
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2025,2862,BROOME COMMUNITY COLLEGE,224,602074.93
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2005,2861,CAYUGA COMMUNITY COLLEGE,65,174253
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2036,6787,CLINTON COMMUNITY COLLEGE,61,158765
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2038,6789,COLUMBIA-GREENE COMMUNITY COLLEGE,42,104838.65
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2042,2863,CORNING COMMUNITY COLLEGE,82,204259.45
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2053,2864,DUTCHESS COMMUNITY COLLEGE,141,337238.5
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2065,10684,ERIE COMMUNITY COLL - ALL CAMPUS,263,841715.5
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,975,2866,FASHION INST TECH UPPER DIVISION,144,617494.39
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2070,2866,FASHION INST TECH-LOWER DIVISION,195,581528.06
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2256,7532,FINGER LAKES COMMUNITY COLLEGE,177,469664.2
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2240,2867,FULTON MONTGOMERY COMM COLLEGE,78,205218.65
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2252,6782,GENESEE COMMUNITY COLLEGE,126,329401.5
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2254,4788,HERKIMER COMMUNITY COLLEGE,91,255535
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2080,2868,HUDSON VALLEY COMMUNITY COLLEGE,388,1112860.5
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2085,2869,JAMESTOWN COMMUNITY COLLEGE,117,297618.15
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2220,2870,JEFFERSON COMMUNITY COLLEGE,108,290216.75
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2105,2871,MOHAWK VALLEY COMMUNITY COLLEGE,152,408329
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2180,2872,MONROE COMMUNITY COLLEGE,313,785280.3
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2113,2873,NASSAU COMMUNITY COLLEGE,235,650761
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2215,2874,NIAGARA COMMUNITY COLLEGE,172,443299.5
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2258,7111,NORTH COUNTRY COMMUNITY COLLEGE,15,36395
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2185,2875,ONONDAGA COMMUNITY COLLEGE,264,733559.5
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2125,2876,ORANGE COUNTY COMMUNITY COLLEGE,114,325670.05
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2147,2877,ROCKLAND COMMUNITY COLLEGE,103,265974.15
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2243,6785,SCHENECTADY COUNTY COMM COLLEGE,67,139818.5
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2157,2878,SUFFOLK COMMUNITY COLLEGE,469,1402605.47
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2225,2879,SULLIVAN COMMUNITY COLLEGE,30,83501.5
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2260,6788,TOMPKINS CORTLAND COMM COLLEGE,60,168802.5
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2230,2880,ULSTER COMMUNITY COLLEGE,77,212028.5
2018,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2160,2881,WESTCHESTER COMMUNITY COLLEGE,101,255222.5
2017,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1409,7273,CUNY BARUCH COLLEGE,345,1181866.86
2017,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1410,2687,CUNY BROOKLYN COLLEGE,315,1043964.69
2017,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1411,2688,CUNY CITY COLLEGE,293,929281.67
2017,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1417,2698,CUNY COL STATEN ISLAND,249,795216.98
2017,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1412,7022,CUNY HERBERT H LEHMAN COLLEGE,163,487764.5
2017,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1413,2689,CUNY HUNTER COLLEGE,545,1764460.86
2017,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1414,2693,CUNY JOHN JAY COLLEGE,361,1260719.99
2017,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1415,10097,CUNY MEDGER EVERS COLLEGE,54,125625.44
2017,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1405,2696,CUNY NYC COLLEGE OF TECHNOLOGY,179,475031.44
2017,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1416,2690,CUNY QUEENS COLLEGE,346,1117777.06
2017,Excelsior Scholarship Program,PUBLIC,1-CUNY SR,1418,4759,CUNY YORK COLLEGE,144,434670.46
2017,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1400,2692,CUNY BRONX CC,10,23019
2017,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1401,8611,CUNY HOSTOS CC,11,21341.54
2017,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1402,2694,CUNY KINGSBOROUGH CC,43,102518.15
2017,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1403,10051,CUNY LAGUARDIA CC,61,132657.5
2017,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1404,2691,CUNY MANHATTAN CC,97,242922
2017,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1407,2697,CUNY QUEENSBOROUGH CC,98,208969.2
2017,Excelsior Scholarship Program,PUBLIC,2-CUNY CC,1421,42101,STELLA & CHARLES GUTTMAN CC,36,74965.5
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,174,2711,CORNELL UNIV STATUTORY COLLEGES,8,29015.5
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,3030,2859,MORRISVILLE STATE COLLEGE,143,470262
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,6030,2859,MORRISVILLE STATE COLLEGE,68,275520.57
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,900,2841,SUC BROCKPORT (UNDERGRAD),703,2784317.76
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,905,2842,SUC BUFFALO,582,1918830.24
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,910,2843,SUC CORTLAND (UNDERGRAD),610,2383213.24
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,913,10286,SUC EMPIRE STATE COLLEGE,54,159584.68
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,950,2851,SUC ENV SCI&FORESTRY,79,253249.86
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,915,2844,SUC FREDONIA,568,2109641.15
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,920,2845,SUC GENESEO,588,2524419.88
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,925,2846,SUC NEW PALTZ,539,2250389.63
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,930,2847,SUC ONEONTA,565,2294414.39
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,935,2848,SUC OSWEGO (UNDERGRAD),699,2810015.34
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,945,2850,SUC POTSDAM,210,666222.38
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,970,6791,SUC PURCHASE,291,1138368.23
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,895,2835,SUNY ALBANY (UNDERGRAD),1174,4505050.02
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,880,2836,SUNY BINGHAMTON,1072,4310796.98
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,1010,2837,SUNY BUFFALO,1496,5184791.9
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,3015,2856,SUNY COBLESKILL,100,315483.01
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,6015,2856,SUNY COBLESKILL,125,446306.28
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,965,7109,SUNY COLLEGE AT OLD WESTBURY (UG),229,844560.38
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,3005,2854,SUNY COLLEGE OF TECH AT ALFRED,231,842584.94
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,6005,2854,SUNY COLLEGE OF TECH AT ALFRED,145,559690.98
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,3010,2855,SUNY COLLEGE OF TECH AT CANTON,81,227834.11
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,6010,2855,SUNY COLLEGE OF TECH AT CANTON,87,313944.94
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,3020,2857,SUNY COLLEGE OF TECH AT DELHI,193,654575.05
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,6020,2857,SUNY COLLEGE OF TECH AT DELHI,71,266209.71
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,3025,2858,SUNY COLLEGE OF TECH FARMINGDALE,119,428570.79
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,6025,2858,SUNY COLLEGE OF TECH FARMINGDALE,293,1059765
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,955,2853,SUNY MARITIME COLLEGE,58,224583.23
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,940,2849,SUNY PLATTSBURGH,342,1365447.64
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,4975,11678,SUNY POLYTECHNIC INSTITUTE,128,449549.88
